Corruption Rate,Accuracy
0.0001,0.989809513092041
0.001,0.9896190762519836
0.01,0.9868571162223816
0.02,0.9853333234786987
0.05,0.9740952253341675
0.1,0.9520952105522156
0.2,0.8614285588264465
0.5,0.37471428513526917
1.0,0.11619047820568085
