Examples,Dataset Pct.,Accuracy
21,0.0001,0.2682380974292755
210,0.001,0.8658095002174377
2100,0.01,0.9589523673057556
4200,0.02,0.9663809537887572
10501,0.05,0.9696666598320008
21003,0.1,0.9735714197158812
42006,0.2,0.9727143049240112
105016,0.5,0.972952365875244
210032,1.0,0.9739523530006408
