Examples,Dataset Pct.,Accuracy
21,0.0001,0.0476190485060215
210,0.001,0.0540952384471893
2100,0.01,0.7885714173316956
4200,0.02,0.8628571629524231
10501,0.05,0.9513333439826964
21003,0.1,0.965238094329834
42006,0.2,0.9793333411216736
105016,0.5,0.9854761958122253
210032,1.0,0.989809513092041
